Model,SystemType,IndoorOutdoor,UnitStyle,Capacity_kW
RAS-22NJ,家用,Indoor,壁掛,2.2
RAS-28NJ,家用,Indoor,壁掛,2.8
RAS-36NJ,家用,Indoor,壁掛,3.6
RAS-40NJ,家用,Indoor,壁掛,4.1
RAS-50NJ,家用,Indoor,壁掛,5.0
RAS-63NJ,家用,Indoor,壁掛,6.3
RAS-71NJ,家用,Indoor,壁掛,7.1
RAS-80NJ,家用,Indoor,壁掛,8.0
RAI-28NJ,家用,Indoor,崁入,2.8
RAI-36NJ,家用,Indoor,崁入,3.6
RAI-50NJ,家用,Indoor,崁入,5.0
RAI-71NJ,家用,Indoor,崁入,7.1
RAD-28NJ,家用,Indoor,吊隱,2.8
RAD-36NJ,家用,Indoor,吊隱,3.6
RAD-50NJ,家用,Indoor,吊隱,5.0
RAD-71NJ,家用,Indoor,吊隱,7.1
RAD-80NJ,家用,Indoor,吊隱,8.0
RAC-22NJ,家用,Outdoor,側吹,2.2
RAC-28NJ,家用,Outdoor,側吹,2.8
RAC-36NJ,家用,Outdoor,側吹,3.6
RAC-50NJ,家用,Outdoor,側吹,5.0
RAC-71NJ,家用,Outdoor,側吹,7.1
RAC-80NJ,家用,Outdoor,側吹,8.0
RC-112FSN,商用,Indoor,崁入,11.2
RC-140FSN,商用,Indoor,崁入,14.0
RC-160FSN,商用,Indoor,崁入,16.0
RP-112FSN,商用,Indoor,吊隱,11.2
RP-140FSN,商用,Indoor,吊隱,14.0
RP-160FSN,商用,Indoor,吊隱,16.0
RAS-AP112FSN,商用,Outdoor,側吹,11.2
RAS-AP140FSN,商用,Outdoor,側吹,14.0
RAS-AP224FSN,商用,Outdoor,上吹,22.4
RAS-AP280FSN,商用,Outdoor,上吹,28.0
RPK-22FSN,VRV,Indoor,壁掛,2.2
RPK-36FSN,VRV,Indoor,壁掛,3.6
RPK-56FSN,VRV,Indoor,壁掛,5.6
RPK-71FSN,VRV,Indoor,壁掛,7.1
RCI-28FSN,VRV,Indoor,崁入,2.8
RCI-56FSN,VRV,Indoor,崁入,5.6
RCI-90FSN,VRV,Indoor,崁入,9.0
RCI-140FSN,VRV,Indoor,崁入,14.0
RPI-28FSN,VRV,Indoor,吊隱,2.8
RPI-56FSN,VRV,Indoor,吊隱,5.6
RPI-90FSN,VRV,Indoor,吊隱,9.0
RPI-140FSN,VRV,Indoor,吊隱,14.0
RAS-FSN-10HP,VRV,Outdoor,上吹,28.0
RAS-FSN-14HP,VRV,Outdoor,上吹,40.0
RAS-FSN-18HP,VRV,Outdoor,上吹,50.0
